term,sense,sentence,class,confidence,pred_labels,replace_words,target_words
condense,condense#v#4,The cold air condensed the steam,literal,0.8,literal,['condense'],['condensed']
condense,condense#v#5,Her feelings condensed,metaphorical,0.6,metaphorical,['distill'],['condensed']
condense,condense#v#6,All our planets condensed out of the same material,literal,0.7,literal,['condense'],['condensed']
condense,condense#v#7,Congress condensed the three-year plan into a six-month plan,literal,0.8,metaphorical,['contract'],['condensed']
conduct,conduct#v#1,You cannot conduct business like this,literal,0.7,metaphorical,['toilet'],['can']
conduct,conduct#v#2,conduct an orchestra; Barenboim conducted the Chicago symphony for years,literal,0.9,literal,['conduct'],['conduct']
conduct,conduct#v#6,Bernstein conducted Mahler like no other conductor,literal,0.9,metaphorical,['hand'],['conducted']
confirm,confirm#v#1,his story confirmed my doubts,literal,0.8,metaphorical,['back'],['confirmed']
confirm,confirm#v#2,The witnesses confirmed the victim's account,literal,0.9,metaphorical,['document'],['confirmed']
confirm,confirm#v#4,The Senate confirmed the President's candidate for Secretary of Defense,literal,0.9,metaphorical,['support'],['confirmed']
confirm,confirm#v#5,the children were confirmed in their mother's faith,literal,0.7,metaphorical,['back'],['confirmed']
confront,confront#v#1,You must confront your opponent,literal,0.9,literal,['must'],['must']
confront,confront#v#2,You must confront your problems,literal,0.7,literal,['must'],['must']
confront,confront#v#3,We confronted him with the evidence,literal,0.8,metaphorical,['face'],['confronted']
confront,confront#v#4,The child screamed when he confronted the man in the Halloween costume,literal,0.8,literal,['scream'],['screamed']
confuse,confuse#v#2,These questions confuse even the experts.,literal,0.9,metaphorical,['blur'],['confuse']
confuse,confuse#v#3,The constant attention of the young man confused her.,literal,1.0,metaphorical,['disordered'],['confused']
confuse,confuse#v#5,Her remarks confused the debate.,literal,0.7,metaphorical,['flurry'],['confused']
consider,consider#v#2,consider the possibility of moving,literal,0.9,metaphorical,['respect'],['consider']
consider,consider#v#4,You must consider her age,literal,0.8,literal,['must'],['must']
consider,consider#v#5,They considered the possibility of a strike,literal,0.9,metaphorical,['deliberate'],['considered']
consider,consider#v#9,Please consider your family,literal,0.9,literal,['feel'],['consider']
consolidate,consolidate#v#1,The companies consolidated,literal,0.8,literal,['amalgamated'],['consolidated']
consolidate,consolidate#v#2,consolidate one's gains,literal,0.7,literal,['consolidate'],['consolidate']
consolidate,consolidate#v#3,The town and county schools are being consolidated,literal,0.9,metaphorical,['fused'],['consolidated']
consolidate,consolidate#v#4,The mud had consolidated overnight,literal,0.9,metaphorical,['fused'],['consolidated']
consolidate,consolidate#v#5,consolidate fibers into boards,literal,0.9,literal,['consolidate'],['consolidate']
constitutionalize,constitutionalize#v#1,The United States were constitutionalized in the late 18th century,literal,0.9,metaphorical,['rest'],['were']
constitutionalize,constitutionalize#v#2,A good way of exercising is to constitutionalize,literal,0.7,metaphorical,['tone'],['exercising']
constitutionalize,constitutionalize#v#3,A woman's right to an abortion was constitutionalized in the 1970's,literal,0.7,metaphorical,['promise'],['was']
construct,construct#v#3,construct an equilateral triangle,literal,0.9,metaphorical,['frame'],['construct']
construct,construct#v#4,construct a sentence,literal,0.8,metaphorical,['frame'],['construct']
construct,construct#v#5,construct an argument,literal,0.6,metaphorical,['notion'],['construct']
consume,consume#v#4,The fire consumed the building,metaphorical,0.6,metaphorical,['smoke'],['consumed']
consume,consume#v#5,this car consumes a lot of gas,literal,0.6,metaphorical,['smoke'],['consumes']
consume,consume#v#6,The effort to pass the exam consumed all his energy,literal,0.6,metaphorical,['muscle'],['pass']
continue,continue#v#1,We continued to work into the night,literal,0.9,metaphorical,['roar'],['continued']
continue,continue#v#10,The bad weather continued for two more weeks,literal,0.9,metaphorical,['roar'],['continued']
continue,continue#v#5,We cannot continue several servants any longer,literal,0.7,metaphorical,['buttocks'],['can']
continue,continue#v#6,We continued our research into the cause of the illness,literal,0.9,metaphorical,['prevail'],['continued']
continue,continue#v#7,The demonstration continued after a break for lunch,literal,0.9,metaphorical,['sweep'],['continued']
converge,converge#v#3,The crowd converged on the movie star.,literal,0.7273,metaphorical,['breast'],['converged']
converge,converge#v#4,Social forces converged to bring the Fascists back to power.,metaphorical,0.5,metaphorical,['concentrate'],['converged']
convulse,convulse#v#1,The comedian convulsed the crowd,metaphorical,0.7,metaphorical,['slash'],['convulsed']
convulse,convulse#v#4,earthquakes convulsed the countryside,literal,0.6,metaphorical,['slash'],['convulsed']
convulse,convulse#v#6,The muscles in her face convulsed,literal,0.9,metaphorical,['slash'],['convulsed']
cook,cook#v#1,My husband doesn't cook,literal,1.0,literal,['devil'],['cook']
cook,cook#v#3,These potatoes have to cook for 20 minutes,literal,1.0,metaphorical,['steam'],['cook']
cook,cook#v#5,The apothecary cooked the medicinal mixture in a big iron kettle,literal,0.9,literal,['stew'],['cooked']
correct,correct#v#4,engineers will work to correct the effects or air resistance,literal,0.8,metaphorical,['volition'],['will']
correct,correct#v#6,the stock market corrected,metaphorical,0.5,metaphorical,['slump'],['corrected']
correct,correct#v#8,The new contact lenses will correct for his myopia,literal,0.7,metaphorical,['volition'],['will']
count,count#v#1,Can you count the books on your shelf?,literal,1.0,metaphorical,['buttocks'],['Can']
count,count#v#4,The toddler could count to 100,literal,1.0,misc,[''],['could']
count,count#v#5,The academy counts several Nobel Prize winners among its members,literal,0.7,metaphorical,['number'],['counts']
count,count#v#6,I can count my colleagues in the opposition,literal,0.7,metaphorical,['throne'],['can']
count,count#v#7,each answer counts as three points,literal,0.7,literal,['count'],['counts']
count,count#v#8,you can count on me to help you any time,metaphorical,0.6,metaphorical,['buttocks'],['can']
crawl,crawl#v#1,The crocodile was crawling along the riverbed,literal,1.0,literal,['creeping'],['crawling']
crawl,crawl#v#2,My skin crawled--I was terrified,metaphorical,0.8,literal,['creep'],['crawled']
crawl,crawl#v#3,The old cheese was crawling with maggots,metaphorical,0.6,literal,['creeping'],['crawling']
crawl,crawl#v#5,European children learn the breast stroke; they often don't know how to crawl,literal,1.0,literal,['learn'],['learn']
credit,credit#v#1,We credited her for saving our jobs,literal,0.6,metaphorical,['credit'],['credited']
credit,credit#v#2,She was not properly credited in the program,literal,0.8,metaphorical,['credit'],['credited']
credit,credit#v#3,We credit your account with $100,literal,0.9,literal,['credit'],['credit']
crown,crown#v#1,The prince was crowned in Westminster Abbey,literal,0.9,literal,['crown'],['crowned']
crown,crown#v#2,The speech crowned the meeting,metaphorical,0.7,literal,['crown'],['crowned']
crown,crown#v#3,A weather vane crowns the building,metaphorical,0.7,metaphorical,['hilltop'],['crowns']
crush,crush#v#2,crush an aluminum can,literal,1.0,metaphorical,['shell'],['crush']
crush,crush#v#4,The car crushed the toy,literal,0.9,metaphorical,['shell'],['crushed']
crush,crush#v#5,She was crushed by his refusal of her invitation,metaphorical,0.8,literal,['humiliated'],['crushed']
crush,crush#v#8,The plastic bottle crushed against the wall,literal,0.9,metaphorical,['shell'],['crushed']
culminate,culminate#v#1,The meeting culminated in a tearful embrace.,metaphorical,0.5,metaphorical,['climax'],['culminated']
culminate,culminate#v#2,Seurat culminated pointillism.,metaphorical,0.6,metaphorical,['crown'],['culminated']
culminate,culminate#v#5,The helmet culminated in a crest.,literal,0.6,metaphorical,['crown'],['culminated']
curl,curl#v#1,The cigar smoke curled up at the ceiling.,metaphorical,0.5,literal,['coil'],['curled']
curl,curl#v#2,She curled farther down under the covers.,metaphorical,0.5,literal,['curl'],['curled']
curl,curl#v#4,"Curl my hair, please.",literal,1.0,metaphorical,['roll'],['Curl']
dance,dance#v#1,The young girl danced into the room.,literal,0.9,metaphorical,['heel'],['danced']
dance,dance#v#2,My husband and I like to dance at home to the radio.,literal,0.9583,metaphorical,['love'],['like']
dance,dance#v#3,The children danced with joy.,literal,0.8,literal,['dance'],['danced']
dash,dash#v#1,She dashed into the yard,literal,0.8,metaphorical,['dash'],['dashed']
dash,dash#v#3,He dashed the plate against the wall,literal,0.7,metaphorical,['dash'],['dashed']
dash,dash#v#4,dashed ambitions and hopes,metaphorical,0.5,literal,['plunge'],['dashed']
dash,dash#v#5,dashed by the refusal,metaphorical,0.6,metaphorical,['dash'],['dashed']
dash,dash#v#6,blue paint dashed with white,literal,0.6,metaphorical,['dash'],['dashed']
date,date#v#2,The package is dated November 24,literal,1.0,literal,['date'],['dated']
date,date#v#3,Scientists often cannot date precisely archeological or prehistorical findings,literal,0.7,metaphorical,['stool'],['can']
date,date#v#5,She wrote the letter on Monday but she dated it Saturday so as not to reveal that she procrastinated,literal,0.9,metaphorical,['sign'],['wrote']
dawn,dawn#v#1,It dawned on him that she had betrayed him,metaphorical,0.7,metaphorical,['dawn'],['dawned']
dawn,dawn#v#2,The age of computers had dawned,metaphorical,0.7,metaphorical,['dawn'],['dawned']
dawn,dawn#v#3,"It started to dawn, and we had to get up",literal,0.8,metaphorical,['jump'],['started']
debut,debut#v#1,The band debuts a new song or two each month,literal,0.8,metaphorical,['entry'],['debuts']
debut,debut#v#2,"The new ballet that debuts next months at Covent Garden, is already sold out",literal,0.8,metaphorical,['unveiling'],['debuts']
debut,debut#v#3,This young soprano debuts next month at the Metropolitan Opera,literal,0.9,metaphorical,['unveiling'],['debuts']
decide,decide#v#1,We finally decided after lengthy deliberations,literal,0.9,metaphorical,['rule'],['decided']
decide,decide#v#2,The case was decided,literal,0.9,metaphorical,['rule'],['decided']
decide,decide#v#3,This new development finally decided me!,literal,0.8,metaphorical,['rule'],['decided']
decide,decide#v#4,The vote in New Hampshire often decides the outcome of the Presidential election,literal,0.8,metaphorical,['rule'],['decides']
declare,declare#v#1,He declared that he needed more money to carry out the task he was charged with,literal,0.9,metaphorical,['promise'],['declared']
declare,declare#v#2,The President declared war,literal,0.9,metaphorical,['decree'],['declared']
declare,declare#v#3,He declared that he was innocent,literal,0.9,metaphorical,['promise'],['declared']
declare,declare#v#4,She was declared incompetent,literal,0.9,metaphorical,['sentence'],['declared']
declare,declare#v#7,Do you have anything to declare?,literal,0.9,literal,['promise'],['declare']
declare,declare#v#8,His wife declared at once for moving to the West Coast,literal,0.8,metaphorical,['promise'],['declared']
decline,decline#v#3,he declined to join the group on a hike,literal,0.7,metaphorical,['slip'],['declined']
decline,decline#v#5,The roof declines here,literal,0.9,metaphorical,['steep'],['declines']
decline,decline#v#7,"in many languages, speakers decline nouns, pronouns, and adjectives",literal,0.8,metaphorical,['declension'],['decline']
deflate,deflate#v#2,deflate the air mattress,literal,1.0,metaphorical,['puncture'],['deflate']
deflate,deflate#v#3,The bad review of his work deflated his self-confidence,metaphorical,0.6,literal,['puncture'],['deflated']
deflate,deflate#v#4,The new measures deflated the economy,metaphorical,1.0,literal,['puncture'],['deflated']
deflate,deflate#v#5,deflate the currency,metaphorical,0.7,metaphorical,['puncture'],['deflate']
deflate,deflate#v#6,The balloons deflated,literal,1.0,literal,['puncture'],['deflated']
deform,deform#v#1,the heat deformed the plastic sculpture,literal,0.9,literal,['crank'],['deformed']
deform,deform#v#4,The sidewalk deformed during the earthquake,literal,0.9,literal,['bulge'],['deformed']
deform,deform#v#5,His body was deformed by leprosy,literal,0.9,metaphorical,['strain'],['deformed']
dehydrate,dehydrate#v#1,You should carry dehydrated food on your camping trip.,literal,1.0,misc,[''],['should']
dehydrate,dehydrate#v#2,All this exercise and sweating has dehydrated me.,literal,0.92,literal,['dried'],['dehydrated']
dehydrate,dehydrate#v#3,"In the desert, you get dehydrated very quickly.",literal,1.0,literal,['stick'],['get']
demand,demand#v#1,The victim's family is demanding compensation,literal,0.8,metaphorical,['claim'],['demanding']
demand,demand#v#3,The bank demanded payment of the loan,literal,1.0,metaphorical,['cost'],['demanded']
demand,demand#v#6,I demand an explanation,literal,0.9,literal,['necessity'],['demand']
denote,denote#v#1,Her smile denoted that she agreed,literal,0.7,metaphorical,['cry'],['denoted']
denote,denote#v#2,`multi-' denotes `many',literal,0.6,metaphorical,['cry'],['denotes']
denote,denote#v#3,She denoted her feelings clearly,literal,0.7,metaphorical,['cry'],['denoted']
depress,depress#v#1,These news depressed her,literal,0.6,metaphorical,['down'],['depressed']
depress,depress#v#2,The glut of oil depressed gas prices,metaphorical,0.6,literal,['glut'],['glut']
depress,depress#v#3,The lack of rain had depressed the water level in the reservoir,metaphorical,0.6,metaphorical,['lower'],['depressed']
depress,depress#v#5,The rising inflation depressed the economy,literal,0.6,literal,['rise'],['rising']
desert,desert#v#1,The mother deserted her children,literal,0.8,metaphorical,['rat'],['deserted']
desert,desert#v#2,"If soldiers deserted Hitler's army, they were shot",literal,1.0,literal,['deserted'],['deserted']
desert,desert#v#3,the students deserted the campus after the end of exam period,literal,0.7,metaphorical,['ditch'],['deserted']
design,design#v#2,This room is not designed for work.,literal,0.7,literal,['design'],['designed']
design,design#v#3,Chanel designed the famous suit.,literal,1.0,literal,['design'],['designed']
design,design#v#4,It is difficult to design a better mousetrap.,literal,0.6,literal,['pattern'],['design']
design,design#v#5,Dupont designs for the house of Chanel.,literal,0.8947,metaphorical,['trap'],['designs']
design,design#v#6,She designed a good excuse for not attending classes that day.,metaphorical,0.6,metaphorical,['intentional'],['designed']
design,design#v#7,She designed to go far in the world of business.,literal,0.5417,metaphorical,['plan'],['designed']
devour,devour#v#1,Fire had devoured our home,metaphorical,0.7,metaphorical,['down'],['devoured']
devour,devour#v#2,She devoured his novels,metaphorical,1.0,metaphorical,['pig'],['devoured']
devour,devour#v#4,he devoured three sandwiches,literal,0.9,metaphorical,['down'],['devoured']
digest,digest#v#1,I cannot digest milk products,literal,1.0,metaphorical,['toilet'],['can']
digest,digest#v#2,I cannot digest all this information,metaphorical,0.6,metaphorical,['stool'],['can']
digest,digest#v#4,Protein digests in a few hours,literal,0.9,metaphorical,['stomach'],['digests']
digest,digest#v#5,the government digested the entire law into a code,metaphorical,0.8,metaphorical,['support'],['digested']
discolor,discolor#v#1,The painting discolored.,literal,0.9,literal,['tan'],['discolored']
discolor,discolor#v#2,The detergent discolored my shirts.,literal,1.0,literal,['tan'],['discolored']
discolor,discolor#v#3,The shirts discolored.,literal,1.0,literal,['tan'],['discolored']
dismiss,dismiss#v#1,She dismissed his advances,literal,0.8,metaphorical,['retire'],['dismissed']
dismiss,dismiss#v#2,This case is dismissed!,literal,0.9,metaphorical,['disregard'],['dismissed']
dismiss,dismiss#v#5,I was dismissed after I gave my report,literal,1.0,metaphorical,['sack'],['dismissed']
distil,distil#v#2,distill the essence of this compound,literal,0.9,literal,['purify'],['distill']
distil,distil#v#4,The doctor distilled a few drops of disinfectant onto the wound,literal,0.9,literal,['condense'],['distilled']
distill,distill#v#3,distill the essence of this compound,literal,0.8,literal,['purify'],['distill']
distill,distill#v#5,The doctor distilled a few drops of disinfectant onto the wound,literal,0.9,literal,['condense'],['distilled']
divide,divide#v#1,divide the cake into three equal parts,literal,1.0,literal,['separate'],['divide']
divide,divide#v#2,Can you divide 49 by seven?,literal,0.8,metaphorical,['ass'],['Can']
divide,divide#v#3,The mountain range divides the two countries,literal,0.7,metaphorical,['separate'],['divides']
double,double#v#1,The population doubled within 50 years,literal,0.9,literal,['doubled'],['doubled']
double,double#v#3,He doubled and vomited violently,literal,0.6,metaphorical,['double'],['doubled']
double,double#v#4,She doubles as his wife and secretary,literal,0.7,metaphorical,['image'],['doubles']
down,down#v#1,He downed three martinis before dinner.,metaphorical,0.7,metaphorical,['down'],['downed']
down,down#v#2,Some people can down a pound of meat in the course of one meal.,metaphorical,0.7,metaphorical,['toilet'],['can']
down,down#v#5,The policeman downed the heavily armed suspect.,metaphorical,0.5,metaphorical,['down'],['downed']
downsize,downsize#v#1,Three secretaries were downsized during the financial crisis.,metaphorical,0.5,literal,['downsize'],['downsized']
downsize,downsize#v#2,The car makers downsized the SUVs when fuel became very expensive.,metaphorical,0.5,literal,['downsize'],['downsized']
downsize,downsize#v#3,The company downsized its research staff.,literal,0.7,literal,['downsize'],['downsized']
drain,drain#v#1,The rain water drains into this big vat.,literal,0.9,literal,['trap'],['drains']
drain,drain#v#2,The exercise class drains me of energy.,metaphorical,0.8,literal,['trap'],['drains']
drain,drain#v#3,We drained the oil tank.,literal,0.9,metaphorical,['waste'],['drained']
drain,drain#v#4,Life in the camp drained him.,metaphorical,0.9091,metaphorical,['dead'],['drained']
drift,drift#v#10,snow drifting several feet high,literal,1.0,metaphorical,['range'],['drifting']
drift,drift#v#4,stock prices are drifting higher,metaphorical,1.0,metaphorical,['range'],['drifting']
drift,drift#v#5,My son drifted around for years in California before going to law school,metaphorical,0.6,metaphorical,['tide'],['drifted']
drift,drift#v#6,The unknown young man drifted among the invited guests,metaphorical,0.5,metaphorical,['cast'],['drifted']
drift,drift#v#7,drift the boats downstream,literal,0.9,literal,['float'],['drift']
drift,drift#v#8,drift the cattle herds westwards,literal,0.7,literal,['tide'],['drift']
drift,drift#v#9,The stock market drifted upward,metaphorical,0.6,metaphorical,['float'],['drifted']
drink,drink#v#1,The patient must drink several liters each day,literal,0.9,literal,['must'],['must']
drink,drink#v#2,We were up drinking all night,literal,1.0,metaphorical,['lap'],['drinking']
drink,drink#v#4,The mother drinks in every word of her son on the stage,metaphorical,0.7,literal,['potion'],['drinks']
drink,drink#v#5,The husband drinks and beats his wife,literal,1.0,metaphorical,['mate'],['drinks']
drown,drown#v#1,I was drowned in work,metaphorical,0.7,literal,['swim'],['drowned']
drown,drown#v#2,She drowned her trouble in alcohol,metaphorical,0.7,literal,['swim'],['drowned']
drown,drown#v#3,The child drowned in the lake,literal,1.0,literal,['swim'],['drowned']
drown,drown#v#4,He drowned the kittens,literal,1.0,literal,['swim'],['drowned']
dull,dull#v#1,Age had dulled the surface,literal,0.8,metaphorical,['cloud'],['dulled']
dull,dull#v#2,the varnished table top dulled with time,literal,0.9,metaphorical,['cloud'],['dulled']
dull,dull#v#5,Too much cutting dulls the knife's edge,literal,0.8,metaphorical,['blunt'],['dulls']
dull,dull#v#7,Middle age dulled her appetite for travel,metaphorical,0.8,metaphorical,['mute'],['dulled']
dump,dump#v#1,No dumping in these woods!,literal,0.9,literal,['dumping'],['dumping']
dump,dump#v#2,The company dumped him after many years of service,metaphorical,0.7,metaphorical,['deck'],['dumped']
dump,dump#v#4,The truck dumped the garbage in the street,literal,0.9,literal,['ditch'],['dumped']
ease,ease#v#1,He eased himself into the chair,literal,0.7,metaphorical,['comfort'],['eased']
ease,ease#v#2,ease the pain in your legs,literal,0.9,literal,['comfort'],['ease']
ease,ease#v#4,The news eased my conscience,literal,0.6,metaphorical,['comfort'],['eased']
eat,eat#v#1,She was eating a banana,literal,1.0,literal,['wolf'],['eating']
eat,eat#v#2,We did not eat until 10 P.M. because there were so many phone calls,literal,1.0,metaphorical,['mess'],['eat']
eat,eat#v#3,This dog doesn't eat certain kinds of meat,literal,1.0,literal,['rust'],['eat']
emerge,emerge#v#1,"Suddenly, the proprietor emerged from his office",literal,0.8,metaphorical,['break'],['emerged']
emerge,emerge#v#3,Some nice results emerged from the study,metaphorical,0.7,metaphorical,['leak'],['emerged']
emerge,emerge#v#4,He felt new emotions emerge,literal,0.7,metaphorical,['experience'],['felt']
end,end#v#2,She ended their friendship when she found out that he had once been convicted of a crime.,literal,0.96,metaphorical,['stop'],['ended']
end,end#v#3,This sad scene ended the movie.,literal,0.6957,metaphorical,['break'],['ended']
end,end#v#4,The terrible news ended our hopes that he had survived.,literal,0.8,metaphorical,['complete'],['ended']
engrave,engrave#v#1,engraved the trophy cupt with the winner's,literal,1.0,metaphorical,['character'],['engraved']
engrave,engrave#v#2,The event engraved itself into her memory,metaphorical,0.8,metaphorical,['character'],['engraved']
engrave,engrave#v#4,engrave the pen with the owner's name,literal,1.0,metaphorical,['character'],['engrave']
erase,erase#v#1,The Turks erased the Armenians in 1915,metaphorical,0.6,metaphorical,['sponge'],['erased']
erase,erase#v#2,Please erase the formula on the blackboard--it is wrong!,literal,1.0,metaphorical,['sponge'],['erase']
erase,erase#v#3,Who erased the files form my hard disk?,literal,0.9,metaphorical,['delete'],['erased']
erupt,erupt#v#2,Unrest erupted in the country,metaphorical,0.5,metaphorical,['break'],['erupted']
erupt,erupt#v#4,The tooth erupted and had to be extracted,metaphorical,0.5,metaphorical,['flare'],['erupted']
erupt,erupt#v#5,Vesuvius erupts once in a while,literal,1.0,metaphorical,['flare'],['erupts']
erupt,erupt#v#7,A rash erupted on her arms after she had touched the exotic plant,metaphorical,0.5,metaphorical,['break'],['erupted']
escape,escape#v#1,The convicted murderer escaped from a high security prison,literal,0.9,literal,['convict'],['convicted']
escape,escape#v#5,We escaped to our summer house for a few days,metaphorical,0.5,metaphorical,['loose'],['escaped']
escape,escape#v#7,Gas escaped into the bedroom,literal,0.7,metaphorical,['loose'],['escaped']
excavate,excavate#v#1,Schliemann excavated Troy.,literal,0.9,metaphorical,['trench'],['excavated']
excavate,excavate#v#3,Carnegie had a lake excavated for Princeton University's rowing team.,literal,1.0,metaphorical,['trench'],['excavated']
excavate,excavate#v#4,The mining company wants to excavate the hillside.,literal,0.9,metaphorical,['deficit'],['wants']
exclude,exclude#v#1,The bad results were excluded from the report,literal,0.9,literal,['exclude'],['excluded']
exclude,exclude#v#3,The cost for the trip excludes food and beverages,literal,0.9,metaphorical,['bar'],['excludes']
exclude,exclude#v#5,The unruly student was excluded from the game,literal,0.9,metaphorical,['bar'],['excluded']
excuse,excuse#v#1,Please excuse my dirty hands,literal,0.8,metaphorical,['apologise'],['excuse']
excuse,excuse#v#2,Please excuse me from this class,literal,0.9,metaphorical,['color'],['excuse']
excuse,excuse#v#3,Your need to sleep late does not excuse your late arrival at work,literal,0.8,literal,['sleep'],['sleep']
excuse,excuse#v#6,excuse someone's behavior,literal,0.8,literal,['alibi'],['excuse']
execute,execute#v#1,"In some states, criminals are executed",literal,0.9,metaphorical,['action'],['executed']
execute,execute#v#2,The Mafioso who collaborated with the police was executed,literal,0.9,metaphorical,['cooperate'],['collaborated']
execute,execute#v#3,execute the decision of the people,literal,0.6,metaphorical,['action'],['execute']
execute,execute#v#4,execute a will or a deed,literal,0.6,metaphorical,['action'],['execute']
execute,execute#v#7,The President executed the treaty,literal,0.6,metaphorical,['action'],['executed']
exhaust,exhaust#v#1,This kind of work exhausts me.,literal,0.7,metaphorical,['blow'],['exhausts']
exhaust,exhaust#v#3,One should not exhaust one's savings.,metaphorical,0.8,misc,[''],['should']
exhaust,exhaust#v#4,We have exhausted the food supplies.,metaphorical,0.7,metaphorical,['sap'],['exhausted']
expect,expect#v#1,The meteorologists are expecting rain for tomorrow,literal,0.8,metaphorical,['require'],['expecting']
expect,expect#v#3,We were expecting a visit from our relatives,literal,0.8,metaphorical,['look'],['expecting']
expect,expect#v#4,I'm expecting a full explanation as to why these files were destroyed,literal,0.9,metaphorical,['look'],['expecting']
expect,expect#v#5,She is expecting in March,literal,0.6,metaphorical,['wait'],['expecting']
explode,explode#v#1,We exploded the nuclear bomb,literal,0.9,literal,['detonate'],['exploded']
explode,explode#v#2,The champagne bottle exploded,literal,0.9,literal,['dynamite'],['exploded']
explode,explode#v#3,The boss exploded when he heard of the resignation of the secretary,metaphorical,0.8,literal,['explode'],['exploded']
explode,explode#v#5,The enemy exploded the bridge,literal,1.0,literal,['explode'],['exploded']
exploit,exploit#v#1,He exploit the new taxation system,literal,0.8,metaphorical,['work'],['exploit']
exploit,exploit#v#2,we must exploit the resources we are given wisely,literal,0.7,literal,['must'],['must']
exploit,exploit#v#3,he is exploiting the students,literal,0.9,metaphorical,['milk'],['exploiting']
express,express#v#4,Can you express this distance in kilometers?,literal,0.6667,metaphorical,['ass'],['Can']
express,express#v#5,Many of the laboratory animals express the trait.,metaphorical,0.7,metaphorical,['stress'],['express']
express,express#v#6,Italians express coffee rather than filter it.,literal,0.6,literal,['filter'],['filter']
express,express#v#7,She expressed the letter to Florida.,literal,0.7,metaphorical,['curse'],['expressed']
face,face#v#4,The two sofas face each other.,literal,0.7,metaphorical,['perpendicular'],['face']
face,face#v#5,Turn and face your partner now.,metaphorical,0.5,metaphorical,['face'],['Turn']
face,face#v#8,A glossy material faced the lapels of the jacket.,metaphorical,0.5,metaphorical,['face'],['faced']
face,face#v#9,The building was faced with beautiful stones.,metaphorical,0.5,metaphorical,['pit'],['faced']
factor,factor#v#1,a quantum computer can factor the number 15,literal,0.7,metaphorical,['stool'],['can']
factor,factor#v#2,make things factor into a company's profitability,literal,0.8,metaphorical,['profit'],['make']
factor,factor#v#3,You must factor in the recent developments,literal,0.7,literal,['must'],['must']
fasten,fasten#v#1,He fastened the lock onto the door.,literal,0.9,literal,['lock'],['fastened']
fasten,fasten#v#2,This dress fastens in the back.,literal,0.8,metaphorical,['stick'],['fastens']
fasten,fasten#v#3,They fastened various nicknames to each other.,metaphorical,0.6,literal,['glue'],['fastened']
fear,fear#v#1,I fear she might get aggressive,literal,0.8,literal,['dread'],['fear']
fear,fear#v#2,I fear the winters in Moscow,literal,0.7,literal,['reverence'],['fear']
fear,fear#v#3,I fear I won't make it to your wedding party,literal,0.6,literal,['dread'],['fear']
fear,fear#v#4,I fear the results of the final exams,literal,0.6,literal,['apprehension'],['fear']
ferment,ferment#v#1,The Middle East is fermenting,metaphorical,0.7,metaphorical,['ferment'],['fermenting']
ferment,ferment#v#2,Islam is fermenting Africa,metaphorical,0.6,metaphorical,['ferment'],['fermenting']
ferment,ferment#v#3,We ferment the grapes for a very long time to achieve high alcohol content,literal,1.0,literal,['sour'],['ferment']
fill,fill#v#1,fill the child with pride,metaphorical,0.6,metaphorical,['close'],['fill']
fill,fill#v#2,The pool slowly filled with water,literal,0.9,metaphorical,['water'],['filled']
fill,fill#v#3,The liquid fills the container,literal,0.9,metaphorical,['pack'],['fills']
fill,fill#v#7,He filled up on turkey,literal,0.6,metaphorical,['crowd'],['filled']
finish,finish#v#1,He finished the dishes,literal,0.7,metaphorical,['broom'],['finished']
finish,finish#v#4,The carpenter finished the table beautifully,literal,0.9,metaphorical,['broom'],['finished']
finish,finish#v#6,That finished me with Mary,literal,0.6,metaphorical,['broom'],['finished']
fire,fire#v#4,The boss fired his secretary today,literal,0.7,metaphorical,['anger'],['fired']
fire,fire#v#6,The soldiers were fired,literal,0.6,literal,['fire'],['fired']
fire,fire#v#9,Oil fires the furnace,literal,0.8,literal,['fuel'],['fires']
fit,fit#v#2,This piece won't fit into the puzzle,literal,0.9,misc,[''],['wo']
fit,fit#v#4,He fitted other pieces of paper to his cut-out,literal,0.9,literal,['wire'],['fitted']
fit,fit#v#5,Can you fit the toy into the box?,literal,0.9,metaphorical,['toilet'],['Can']
fit,fit#v#7,How does this shirt fit?,literal,0.8,literal,['answer'],['fit']
flap,flap#v#2,flags flapped in the strong wind,literal,0.8,metaphorical,['flap'],['flapped']
flap,flap#v#3,The bird flapped its wings,literal,0.9,metaphorical,['flap'],['flapped']
flap,flap#v#4,The bird's wings were flapping,literal,1.0,literal,['flap'],['flapping']
flare,flare#v#1,Every star seemed to flare with new intensity.,metaphorical,0.6,metaphorical,['glow'],['seemed']
flare,flare#v#2,The bellbottom pants flare out.,literal,0.6,literal,['flame'],['flare']
flare,flare#v#3,The night sky flared with the massive bombardment.,metaphorical,0.8,metaphorical,['flame'],['flared']
flash,flash#v#1,The lights were flashing,literal,1.0,literal,['flashing'],['flashing']
flash,flash#v#2,The headlines flashed on the screen,literal,0.7,literal,['dash'],['flashed']
flash,flash#v#4,The latest intelligence is flashed to all command posts,metaphorical,0.7,literal,['flash'],['flashed']
flash,flash#v#6,he flashed a $100 bill,metaphorical,0.5,literal,['dash'],['flashed']
flash,flash#v#8,A shooting star flashed and was gone,literal,0.9,metaphorical,['dash'],['shooting']
flick,flick#v#1,The lights flicked on and off.,literal,0.6,metaphorical,['thumb'],['flicked']
flick,flick#v#4,He flicked a piece of paper across the table.,literal,0.8,metaphorical,['thumb'],['flicked']
flick,flick#v#8,The father flicked him with his hand.,metaphorical,0.6,metaphorical,['thumb'],['flicked']
